ID	Gene Name	UniProt ID	Species	Drug IDs
612		Q08210	Plasmodium falciparum (isolate 3D7)	DB01117
614	TH	P07101	Humans	DB00120; DB00135; DB00360; DB00765
615	PCYT1A	P49585	Humans	DB00122; DB14006
616		P01619	Humans	DB01593; DB09130; DB14487; DB14533
617	MTHFD1	P11586	Humans	DB00157
618	GLDC	P23378	Humans	DB00114; DB00145
619	ATP4B	P51164	Humans	DB05351
620		Q5L2G3	Geobacillus kaustophilus (strain HTA426)	DB00845
621	nfsA	P17117	Escherichia coli (strain K12)	DB00698; DB03247
622	AKR1C2	P52895	Humans	DB00157; DB01586; DB06777
623	PTPN1	P18031	Humans	DB01133
624	SLC25A6	P12236	Humans	DB00720
625	GHRHR	Q02643	Humans	DB00010; DB08869
626	ACACA	Q13085	Humans	DB00121
627	PDE7B	Q9NP56	Humans	DB00651
628	CSF2RA	P15509	Humans	DB00020; DB10770; DB10772; DB11338
629	HBB	P68871	Humans	DB00893; DB01593; DB06154; DB09112; DB09130; DB09140; DB09517; DB13995; DB14487; DB14533
630	M	P21430	Influenza A virus (strain A/Ann Arbor/6/1960 H2N2)	DB00478; DB00915
631	PDE10A	Q9Y233	Humans	DB00975; DB01113; DB08814
632	OPRK1	P41145	Humans	DB00193; DB00289; DB00295; DB00318; DB00321; DB00327; DB00370; DB00396; DB00454; DB00497; DB00514; DB00555; DB00611; DB00647; DB00652; DB00704; DB00708; DB00813; DB00825; DB00836; DB00844; DB00854; DB00899; DB00921; DB01183; DB01209; DB01221; DB01238; DB01452; DB06148; DB06204; DB06230; DB06274; DB06800; DB09209; DB09272; DB11130; DB11186; DB11691
633		P09252	HHV-3	DB00426; DB00787; DB13896
634	BRAF	P15056	Humans	DB00398; DB08881; DB08896; DB08912; DB11718; DB12010
635	HCAR2	Q8TDS4	Humans	DB00257; DB00627; DB08949
637	CMPK1	P30085	Humans	DB00441
639	ACSL1	P33121	Humans	DB00131
640	GRIA1	P42261	Humans	DB00142; DB00228; DB00753; DB00898; DB01028; DB01189; DB01236; DB08883; DB13146
641	GRIN3A	Q8TCU5	Humans	DB00142; DB00392; DB00514; DB00721; DB00898; DB00915; DB00949; DB01159; DB01161; DB01173; DB01221; DB06151
642	MMP2	P08253	Humans	DB01197
644	KCNJ1	P48048	Humans	DB00217; DB00222; DB00350; DB00414; DB01124; DB01382
645	UGDH	O60701	Humans	DB00157; DB09130
646	TUB1	P87066	Yeast	DB00400
647	SLC6A3	Q01959	Humans	DB00182; DB00191; DB00245; DB00285; DB00408; DB00422; DB00454; DB00458; DB00476; DB00543; DB00579; DB00721; DB00726; DB00745; DB00830; DB00852; DB00865; DB00907; DB00937; DB00988; DB01104; DB01105; DB01114; DB01146; DB01149; DB01156; DB01161; DB01175; DB01238; DB01576; DB01577; DB04821; DB06148; DB06413; DB06700; DB06701; DB14754
648	GSR	P00390	Humans	DB00143; DB00157; DB00262; DB03147; DB03310; DB09061; DB09130
650	HTR7	P34969	Humans	DB00216; DB00246; DB00247; DB00248; DB00321; DB00363; DB00408; DB00434; DB00458; DB00477; DB00502; DB00543; DB00589; DB00734; DB00751; DB00924; DB00934; DB00988; DB01200; DB01224; DB01238; DB01267; DB04946; DB04948; DB06148; DB06216; DB06288; DB08815; DB09068; DB09225; DB14185
651	IL2RB	P14784	Humans	DB00004; DB00041; DB00074
652	FOLR3	P41439	Humans	DB00158
653	RARRES1	P49788	Humans	DB00755
654	EPOR	P19235	Humans	DB00012; DB00016; DB08894; DB09107
655	MT-ND2	P03891	Humans	DB00157
657	PLA2G4A	P47712	Humans	DB00588; DB00721; DB13867
658	IL2RA	P01589	Humans	DB00004; DB00041; DB00074
659	HTR1D	P28221	Humans	DB00216; DB00246; DB00248; DB00315; DB00320; DB00321; DB00363; DB00408; DB00589; DB00669; DB00696; DB00714; DB00726; DB00734; DB00918; DB00952; DB00953; DB00998; DB01186; DB01200; DB01224; DB01238; DB01267; DB01392; DB04948; DB06153; DB14185
660	SPTLC2	O15270	Humans	DB00114
661	IFNAR1	P17181	Humans	DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105
662	TSTA3	Q13630	Humans	DB00157
663	RARA	P10276	Humans	DB00210; DB00459; DB00523; DB00755; DB00799; DB00982; DB12808
664	HIV-1 protease	O90777	Human Immunodeficiency Virus	DB00220
665	ACVR1B	P36896	Humans	DB12010
666	CALY	Q9NYX4	Humans	DB00363; DB00714; DB00831
667	GPT	P24298	Humans	DB00114; DB00142; DB00780
668	NR3C2	P08235	Humans	DB00393; DB00396; DB00421; DB00588; DB00624; DB00687; DB00700; DB01023; DB01395; DB06780; DB08906; DB13867; DB13943; DB13944; DB13946
669	SLC16A1	P53985	Humans	DB00119
671	ASS1	P00966	Humans	DB00128; DB00155
672	KCNQ1	P51787	Humans	DB01244; DB04855; DB11633
673	PISD	Q9UG56	Humans	DB00144
674	CD33	P20138	Humans	DB00056
676	NDUFB8	O95169	Humans	DB00157
677	PRKAA1	Q13131	Humans	DB00131; DB00914; DB12010
678	ASIC2	Q16515	Humans	DB00594
679	CACNG1	Q06432	Humans	DB00308; DB00343; DB00528; DB00653; DB00898; DB01054; DB04842
680	KCNK6	Q9Y257	Humans	DB00308; DB00908
681	L	P26676	HPIV-2	DB00811
683	PNLIP	P16233	Humans	DB01083
684	NDUFA3	O95167	Humans	DB00157
685	SHBG	P04278	Humans	DB00179; DB00255; DB00367; DB00396; DB00421; DB00539; DB00655; DB00675; DB00882; DB00890; DB00977; DB01593; DB04573; DB04824; DB09371; DB11221; DB11619; DB14487; DB14533
686	F	P13843	Human respiratory syncytial virus B (strain 18537)	DB00110
687	THRA	P10827	Humans	DB00279; DB00451; DB00509; DB01118; DB01583; DB04855
688	FFAR1	O14842	Humans	DB00159
689	FGF1	P05230	Humans	DB00686; DB01025; DB01109; DB06589; DB10770; DB10772
690	ERG11	P50859		DB01026; DB01167; DB09040; DB11633
691	CACNA2D1	P54289	Humans	DB00230; DB00270; DB00308; DB00401; DB00622; DB00653; DB00996; DB01023; DB01054; DB01115; DB04838; DB06712; DB08872
692	TAT	P17735	Humans	DB00114; DB00120; DB00135; DB00142
693	IDO1	P14902	Humans	DB00435; DB09061
694	ADRB2	P07550	Humans	DB00195; DB00221; DB00248; DB00264; DB00335; DB00368; DB00373; DB00397; DB00449; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00816; DB00841; DB00852; DB00867; DB00871; DB00925; DB00938; DB00960; DB00983; DB01001; DB01064; DB01102; DB01136; DB01151; DB01182; DB01193; DB01203; DB01210; DB01214; DB01238; DB01274; DB01288; DB01291; DB01359; DB01366; DB01407; DB01580; DB04846; DB04861; DB05039; DB06216; DB06262; DB06814; DB09080; DB09082; DB11124; DB11587; DB13139
695	FKBP1A	P62942	Humans	DB00337; DB00864; DB00877
697	GPRC5A	Q8NFJ5	Humans	DB00755
698	PC	P11498	Humans	DB00119; DB00121
699	KCNH7	Q9NS40	Humans	DB00308; DB01110; DB01162
700	FPGS	Q05932	Humans	DB00142; DB00293
701	CARS	P49589	Humans	DB00151
702	ACACB	O00763	Humans	DB00121; DB00173
703	ABCB11	O95342	Humans	DB00845; DB01016
704	TNF	P01375	Humans	DB00005; DB00051; DB00065; DB00608; DB00668; DB00852; DB01041; DB01296; DB01407; DB01427; DB02325; DB06674; DB08904; DB08910; DB10770; DB10772; DB11967; DB13751
705	CYSLTR1	Q9Y271	Humans	DB00471; DB00549; DB00716
706	PDE7A	Q13946	Humans	DB00651
707	RXRG	P48443	Humans	DB00210; DB00307; DB00412; DB00459; DB00523; DB00755; DB01393; DB03756
708	KCNJ11	Q14654	Humans	DB00222; DB00308; DB00661; DB00922; DB01119; DB01154; DB11633
709	SLC25A5	P05141	Humans	DB00720
710	FCGR1A	P12314	Humans	DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00112; DB00707; DB00992; DB06607; DB11767; DB14962
711	IFNGR1	P15260	Humans	DB00033
712		P68344	HHV-4	DB00632
713	VKORC1	Q9BQB6	Humans	DB00170; DB00266; DB00498; DB00682; DB00946; DB01418
714	CKM	P06732	Humans	DB00148
715	ADRA1D	P25100	Humans	DB00211; DB00248; DB00298; DB00321; DB00346; DB00368; DB00388; DB00420; DB00457; DB00458; DB00540; DB00575; DB00590; DB00622; DB00661; DB00668; DB00692; DB00696; DB00706; DB00723; DB00777; DB00800; DB00908; DB00925; DB00935; DB01136; DB01142; DB01162; DB01186; DB01200; DB01403; DB04855; DB06144; DB06153; DB06207; DB06262; DB06694; DB11124
716	POLA2	Q14181	Humans	DB00851
717	PLAUR	Q03405	Humans	DB00009; DB00013; DB00015; DB00029; DB00031
718	ALDH3A1	P30838	Humans	DB00157
719	CD2	P06729	Humans	DB00092
720	GAPDHS	O14556	Humans	DB00157; DB01593; DB14487; DB14533
721	BCAT2	O15382	Humans	DB00114; DB00142
722	IMPDH2	P12268	Humans	DB00157; DB00688; DB00811; DB01024
724	BGLAP	P02818	Humans	DB00170; DB01022; DB05260
725	DARS	P14868	Humans	DB00128
726	RDH12	Q96NR8	Humans	DB00162
727	AADAT	Q8N5Z0	Humans	DB00114; DB00142
728	PYCR2	Q96C36	Humans	DB00157
729	NDUFS2	O75306	Humans	DB00157
731	CYP11B1	P15538	Humans	DB00648; DB01011
732	ATP1A1	P05023	Humans	DB00390; DB00511; DB00774; DB00903; DB01021; DB01078; DB01092; DB01119; DB01158; DB01188; DB01244; DB01345; DB01370; DB01378; DB01396; DB01430; DB13996; DB14498; DB14499; DB14500; DB14517; DB14518
733	ddlA	P0A6J8	Escherichia coli (strain K12)	DB00260
734	MTR	Q99707	Humans	DB00115; DB00134; DB00200; DB11590
735	HMOX1	P09601	Humans	DB00157
736	TSPO	P30536	Humans	DB00186; DB00231; DB00404; DB00628; DB00829; DB00897; DB00962; DB01068; DB01178; DB01198; DB01544; DB01587
737	DLD	P09622	Humans	DB00157; DB03147
738	CHRNA2	Q15822	Humans	DB00184; DB00411; DB00416; DB00472; DB00483; DB00514; DB00565; DB00657; DB00674; DB00721; DB00728; DB00732; DB00810; DB00898; DB01135; DB01199; DB01226; DB01245; DB01336; DB01337; DB01338; DB01339
739	RYR1	P21817	Humans	DB00201; DB01219; DB09085
741	BLVRA	P53004	Humans	DB00157
742	TOP2A	P11388	Humans	DB00218; DB00276; DB00380; DB00385; DB00444; DB00445; DB00467; DB00487; DB00537; DB00685; DB00694; DB00773; DB00978; DB00997; DB01059; DB01137; DB01165; DB01177; DB01179; DB01204; DB01208; DB09047
743	rplJ	P0A7J6	Shigella flexneri	DB00778; DB01190; DB01211; DB01369; DB01627
744	dacB	P24228	Escherichia coli (strain K12)	DB00303; DB00417; DB00760; DB01328; DB01329; DB01331; DB04570; DB14879
745	GLRA2	P23416	Humans	DB00145; DB00431; DB00898; DB01956
746	ACSS1	Q9NUB1	Humans	DB00131
747	AKR1B1	P15121	Humans	DB00143; DB00157; DB00605; DB04272
748	FGFR2	P21802	Humans	DB00039; DB01041; DB01109; DB08896; DB08901; DB09078; DB09079; DB10770; DB10772; DB12010; DB12147
749	SLC6A4	P31645	Humans	DB00176; DB00182; DB00191; DB00193; DB00215; DB00245; DB00285; DB00289; DB00321; DB00344; DB00408; DB00454; DB00458; DB00472; DB00476; DB00514; DB00540; DB00543; DB00574; DB00579; DB00656; DB00661; DB00715; DB00726; DB00805; DB00852; DB00907; DB00924; DB00988; DB01104; DB01105; DB01114; DB01142; DB01149; DB01151; DB01175; DB01191; DB01238; DB01242; DB01577; DB04821; DB04832; DB04896; DB06077; DB06148; DB06204; DB06684; DB06700; DB06701; DB08918; DB09016; DB09068; DB09167; DB09195; DB09225
751	OXT	P01178	Humans	DB00107
752	SLC9A1	P19634	Humans	DB00594
753	PAH	P00439	Humans	DB00120; DB00360; DB00368; DB06262
754	NDUFA12	Q9UI09	Humans	DB00157
755	GLUD2	P49448	Humans	DB00142; DB00157
756	DRD2	P14416	Humans	DB00182; DB00246; DB00248; DB00268; DB00334; DB00363; DB00372; DB00391; DB00408; DB00409; DB00413; DB00420; DB00433; DB00450; DB00458; DB00477; DB00490; DB00502; DB00508; DB00540; DB00543; DB00555; DB00568; DB00589; DB00623; DB00679; DB00696; DB00714; DB00715; DB00726; DB00734; DB00777; DB00805; DB00831; DB00850; DB00875; DB00915; DB00933; DB00934; DB00988; DB01043; DB01063; DB01069; DB01100; DB01151; DB01175; DB01184; DB01186; DB01200; DB01221; DB01224; DB01233; DB01235; DB01238; DB01239; DB01267; DB01392; DB01403; DB01618; DB01621; DB01623; DB01624; DB04842; DB04844; DB04946; DB05271; DB05316; DB06016; DB06077; DB06144; DB06148; DB06216; DB06288; DB08815; DB09097; DB09128; DB09225; DB11274; DB14185
757	SLC22A4	Q9H015	Humans	DB00583
758	ARG2	P78540	Humans	DB00129
760	GRIN2A	Q12879	Humans	DB00142; DB00145; DB00454; DB00949; DB01159; DB06151
761	IMPDH1	P20839	Humans	DB00157; DB00688; DB00811; DB01024
762	ACADS	P16219	Humans	DB00157; DB03147
763	MTRR	Q9UBK8	Humans	DB00115; DB00134; DB00200
764	GABRA6	Q16445	Humans	DB00231; DB00241; DB00306; DB00312; DB00371; DB00404; DB00418; DB00599; DB00683; DB00690; DB00794; DB00842; DB00849; DB00897; DB00898; DB01351; DB01353; DB01544; DB01558; DB01595
765	CLCN2	P51788	Humans	DB01046
766	DDAH1	O94760	Humans	DB00155; DB00213; DB00736; DB05351
767	EGFR	P00533	Humans	DB00002; DB00072; DB00281; DB00317; DB00530; DB01259; DB01269; DB05294; DB08916; DB09330; DB09559; DB10772; DB11828; DB11963; DB12010; DB12267; DB15035
768	poxB	P07003	Escherichia coli (strain K12)	DB00336
770	OPRM1	P35372	Humans	DB00193; DB00295; DB00318; DB00321; DB00327; DB00333; DB00454; DB00497; DB00504; DB00514; DB00611; DB00647; DB00652; DB00704; DB00708; DB00802; DB00813; DB00836; DB00844; DB00854; DB00899; DB00904; DB00913; DB00921; DB00956; DB01081; DB01183; DB01192; DB01209; DB01221; DB01227; DB01238; DB01452; DB06204; DB06230; DB06274; DB06800; DB09049; DB09061; DB09089; DB09209; DB09272; DB11130; DB11186; DB11691
771	IDH3G	P51553	Humans	DB00157; DB06757
772	TNK2	Q07912	Humans	DB11986; DB12010
773	AVPR1B	P47901	Humans	DB00035; DB00067; DB02638; DB09059; DB14642
774	PRKAB2	O43741	Humans	DB00131
775	SERPIND1	P05546	Humans	DB00407; DB01593; DB06271; DB09130; DB09258; DB14487; DB14533
776	FDPS	P14324	Humans	DB00282; DB00399; DB00630; DB00710; DB00884
777	MUT	P22033	Humans	DB00115; DB00200
778	SGPL1	O95470	Humans	DB00114
779	VDR	P11473	Humans	DB00136; DB00146; DB00153; DB00169; DB00910; DB01070; DB01436; DB02300; DB04540; DB06410; DB11094; DB11672
780	MDH2	P40926	Humans	DB00157; DB04272; DB09092
781	KCNA1	Q09470	Humans	DB00228; DB00321; DB00753; DB01028; DB01115; DB01189; DB01236; DB06637; DB11640
783	NNMT	P40261	Humans	DB00627
785	ABCC1	P33527	Humans	DB01138; DB06176
786	RLBP1	P12271	Humans	DB00162
788	ASS	Q5T6L4	Humans	DB00128; DB00155
789	SLC7A8	Q9UHI5	Humans	DB00120
790	pbpC	P42971	Bacillus subtilis (strain 168)	DB00355; DB00493; DB01598; DB04570
791	CTH	P32929	Humans	DB00114; DB00151
792	ESR2	Q92731	Humans	DB00255; DB00286; DB00396; DB00481; DB00655; DB00675; DB00783; DB01108; DB01196; DB01428; DB01708; DB04573; DB04574; DB06202; DB06249; DB06401; DB09086; DB09535; DB11219; DB13952; DB13953; DB13954; DB13955; DB13956
793	CSF3R	Q99062	Humans	DB00019; DB00099; DB13144; DB13200
794	NR3C1	P04150	Humans	DB00180; DB00223; DB00240; DB00253; DB00288; DB00324; DB00351; DB00367; DB00394; DB00396; DB00421; DB00443; DB00547; DB00588; DB00591; DB00596; DB00620; DB00635; DB00663; DB00687; DB00717; DB00741; DB00764; DB00769; DB00834; DB00838; DB00846; DB00860; DB00896; DB00959; DB01013; DB01047; DB01130; DB01185; DB01222; DB01234; DB01260; DB01380; DB01395; DB01410; DB06781; DB08867; DB08906; DB09091; DB09095; DB11619; DB11921; DB13158; DB13867; DB14512; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544; DB14583; DB14596; DB15566
795	GABRA1	P14867	Humans	DB00231; DB00241; DB00273; DB00292; DB00306; DB00312; DB00371; DB00395; DB00402; DB00404; DB00418; DB00425; DB00474; DB00543; DB00599; DB00683; DB00690; DB00753; DB00794; DB00801; DB00829; DB00842; DB00849; DB00897; DB00898; DB00962; DB01028; DB01107; DB01154; DB01159; DB01174; DB01198; DB01205; DB01215; DB01236; DB01346; DB01351; DB01353; DB01381; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB13872
797	HTR1B	P28222	Humans	DB00216; DB00246; DB00247; DB00248; DB00315; DB00320; DB00321; DB00363; DB00408; DB00543; DB00571; DB00589; DB00669; DB00696; DB00714; DB00904; DB00918; DB00952; DB00953; DB00960; DB00998; DB01186; DB01200; DB01224; DB01238; DB01359; DB01392; DB06153; DB06216; DB09068; DB14185
798	parC	P0AFI2	Escherichia coli (strain K12)	DB00817; DB11943; DB12924
799	gyrB	P0AES6	Escherichia coli (strain K12)	DB00817
800	fabF	P0AAI5	Escherichia coli (strain K12)	DB03017
801	fabB	P0A953	Escherichia coli (strain K12)	DB03017
802	NPC1L1	Q9UHC9	Humans	DB00973
803	folP	P0AC13	Escherichia coli (strain K12)	DB00259; DB00263; DB00576; DB00634; DB01015; DB01298; DB01581; DB01582; DB06729; DB06821; DB14033
804	ileS	P41972	Staphylococcus aureus	DB00410
805	citC	P77390	Escherichia coli (strain K12)	DB00336
806	alr	Q9L888	Mycobacterium avium	DB00260
807	GSTM1	P09488	Humans	DB00143
808	GSTK1	Q9Y2Q3	Humans	DB00143
809	GSTA3	Q16772	Humans	DB00143
810	GSTM3	P21266	Humans	DB00143
811	GSTA4	O15217	Humans	DB00143
812	GSTM4	Q03013	Humans	DB00143
813	GSTA5	Q7RTV2	Humans	DB00143
814	GSTP1	P09211	Humans	DB00143; DB00197; DB00363; DB00903; DB01015; DB01242; DB03619; DB04339; DB09462; DB11672
815	GSTO1	P78417	Humans	DB00143
816	GPX1	P07203	Humans	DB00143; DB09061
817	GPX2	P18283	Humans	DB00143
818	GSTT1	P30711	Humans	DB00143
819	GSTZ1	O43708	Humans	DB00143; DB08809
820	GPX5	O75715	Humans	DB00143
821	GPX3	P22352	Humans	DB00143
822	FTCD	O95954	Humans	DB00114; DB00142
823	ALDH18A1	P54886	Humans	DB00142
824	GRM1	Q13255	Humans	DB00142
825	GLS	O94925	Humans	DB00142
826	GRIK2	Q13002	Humans	DB00142; DB00237; DB00241; DB00306; DB00312; DB00418; DB00599; DB00794; DB00849; DB01174; DB01351; DB01353
827	GRIK4	Q16099	Humans	DB00142
828	GRIK5	Q16478	Humans	DB00142
829	GRIA2	P42262	Humans	DB00142; DB00237; DB00241; DB00306; DB00312; DB00418; DB00599; DB00794; DB00849; DB00898; DB01174; DB01346; DB01351; DB01353; DB13146
830	GRIA4	P48058	Humans	DB00142; DB00898; DB13146
831	GRIA3	P42263	Humans	DB00142; DB00898; DB13146; DB14507; DB14509
832	GRIK3	Q13003	Humans	DB00142
833	GRM4	Q14833	Humans	DB00142
834	GRM7	Q14831	Humans	DB00142
835	GRM8	O00222	Humans	DB00142
836	HCAR3	P49019	Humans	DB00627; DB08949
837	MGAM	O43451	Humans	DB00284; DB00491
838	SRC	P12931	Humans	DB01254; DB04272; DB06616; DB08901; DB09079; DB12010
839	FYN	P06241	Humans	DB01254; DB12010
840	YES1	P07947	Humans	DB01254; DB12010
841	EPHA2	P29317	Humans	DB01254; DB08896; DB12010
842	LCK	P06239	Humans	DB01254; DB08901; DB09079; DB12010; DB15035
843	rplC	Q9A1X4	Streptococcus pyogenes serotype M1	DB01256; DB06145
844	OXTR	P30559	Humans	DB00107; DB01282; DB09059
845	BHMT	Q93088	Humans	DB00134; DB04272
846	CD86	P42081	Humans	DB00098; DB01281; DB06681
847	CD80	P33681	Humans	DB01281; DB06681; DB11714
848	MC2R	Q01718	Humans	DB01284; DB01285; DB09334; DB11653
849	CHRNA4	P43681	Humans	DB00184; DB00237; DB00241; DB00306; DB00312; DB00333; DB00418; DB00514; DB00564; DB00572; DB00599; DB00657; DB00674; DB00747; DB00753; DB00783; DB00794; DB00849; DB00898; DB00915; DB00981; DB01174; DB01245; DB01273; DB01351; DB01353; DB13952; DB13953; DB13954; DB13955; DB13956
850	CHRNB2	P17787	Humans	DB00184; DB00333; DB00514; DB00572; DB00657; DB00674; DB00747; DB00753; DB00898; DB00981; DB01245; DB01273
852	PDGFRA	P16234	Humans	DB00102; DB00619; DB01268; DB06043; DB06589; DB06595; DB08896; DB08901; DB09078; DB09079; DB10772; DB12010; DB12147
853	CSF1R	P07333	Humans	DB00619; DB01268; DB12010; DB12147; DB12978
854	DPP4	P27487	Humans	DB01076; DB01261; DB04876; DB06203; DB06335; DB08882
855	C5	P01031	Humans	DB00028; DB01257; DB01593; DB09130; DB11580; DB14487; DB14533
856	PLIN3	O60664	Humans	DB01271; DB01279
857	GLP1R	P43220	Humans	DB00040; DB01276; DB06655; DB09043; DB09045; DB09265; DB13928
858	IGF1R	P08069	Humans	DB00030; DB00046; DB00047; DB00071; DB01277; DB01306; DB01307; DB01309; DB09098; DB09564; DB12267; DB14751
859	RAMP1	O60894	Humans	DB01278
860	RAMP2	O60895	Humans	DB01278
861	RAMP3	O60896	Humans	DB01278
864	CACNA1H	O95180	Humans	DB00270; DB00568; DB00661; DB00909; DB01023; DB01054; DB01115; DB01118; DB01244; DB04841; DB09061
866	GP9	P14770	Humans	DB00468
867	CARTPT	Q16568	Humans	DB00182
869	DCXR	Q7Z4W1	Humans	DB02325
870	MAP2K1	Q02750	Humans	DB05239; DB06616; DB08911
871	PTK2B	Q14289	Humans	DB01097; DB11817; DB12010
872	PRKCB	P05771	Humans	DB00163; DB08862; DB14001; DB14002
874	CTPS1	P17812	Humans	DB00130
875	CYP51A1	Q16850	Humans	DB01007; DB01167
876	GAA	P10253	Humans	DB00284; DB00491
878	SNCA	P37840	Humans	DB02709; DB09130
879	SLC22A11	Q9NSA0	Humans	DB00493; DB01032; DB01212; DB11560
880	AQP1	P29972	Humans	DB00819
881	HDAC9	Q9UKV0	Humans	DB00313
882	GART	P22102	Humans	DB00642
884	SLC1A2	P43004	Humans	DB00142
885	S100A13	Q99584	Humans	DB00768; DB01025; DB01164; DB01373; DB11093; DB11348; DB14481
886	SULT2A1	Q06520	Humans	DB01708
887	CTLA4	P16410	Humans	DB06186
888	FADS1	O60427	Humans	DB00132; DB00159
889	GGT1	P19440	Humans	DB00143
891	STAT5B	P51692	Humans	DB01254
892	DNMT1	P26358	Humans	DB00928; DB01035; DB01099; DB01262
895	PLAU	P00749	Humans	DB00013; DB00594
896	ALPPL2	P10696	Humans	DB00848; DB01143
897	KCNQ2	O43526	Humans	DB00321; DB00939; DB04953
898	ALAS2	P22557	Humans	DB00114; DB00145
899	COMP	P49747	Humans	DB01373
900	LRAT	O95237	Humans	DB00162
901	FCGR3B	O75015	Humans	DB00002; DB00005; DB00028; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00112; DB06607; DB11767
904	CAST	P20810	Humans	DB01373
907	PRDX5	P30044	Humans	DB00995; DB03793
908	RNASE3	P12724	Humans	DB04272
910	A2M	P01023	Humans	DB00102; DB00515; DB00626; DB01593; DB08888; DB12965; DB14487; DB14533
911	CCR5	P51681	Humans	DB04835; DB12698
914	NEU1	Q99519	Humans	DB00198
915	MET	P08581	Humans	DB08865; DB08875; DB12010; DB12267
916	PYGM	P11217	Humans	DB00114
917	GRB2	P62993	Humans	DB00061
918	IL6	P05231	Humans	DB01404; DB09036; DB10770; DB10772; DB11967
919	CXCR4	P61073	Humans	DB00452; DB06809; DB12498; DB12698
921	IAPP	P10997	Humans	DB09130
922	APOA2	P02652	Humans	DB01593; DB09130; DB14487; DB14533
923	MAPK1	P28482	Humans	DB01064; DB01169; DB11120
924	ADORA2A	P29274	Humans	DB00201; DB00277; DB00358; DB00555; DB00640; DB00651; DB00806; DB00824; DB01303; DB04932; DB06213; DB11757
925	ORM1	P02763	Humans	DB00276; DB00281; DB00396; DB00975
928	F2R	P25116	Humans	DB00086; DB09030; DB11300
929	CD55	P08174	Humans	DB00446
930	PON1	P27169	Humans	DB01327; DB01593; DB09130; DB14487; DB14533
934	CXCL10	P02778	Humans	DB11338
936	CUBN	O60494	Humans	DB00200
940	SLC6A9	P48067	Humans	DB00145
941	CTSD	P07339	Humans	DB00071
942	LRP2	P98164	Humans	DB00013; DB00071; DB00798
943	PROS1	P07225	Humans	DB00055; DB00170; DB00464; DB09332
944	IFNG	P01579	Humans	DB01250; DB01296; DB10770; DB10772; DB14724
945	HTR6	P50406	Humans	DB00246; DB00321; DB00334; DB00363; DB00408; DB00458; DB00477; DB00502; DB00540; DB00543; DB00924; DB01142; DB01224; DB01238; DB04946; DB06144; DB06148; DB06216; DB09225; DB14185
946	PPBP	P02775	Humans	DB09130
947	POMC	P01189	Humans	DB00836
948	NPSR1	Q6W5P4	Humans	DB01159
949	TNFRSF1B	P20333	Humans	DB00005; DB11626
951	SULT1E1	P49888	Humans	DB01176
952	SERPINA1	P01009	Humans	DB01593; DB09130; DB14487; DB14533
953	EGF	P01133	Humans	DB00364; DB08862
955	PIK3R1	P27986	Humans	DB01064
956	NR1I2	O75469	Humans	DB00163; DB00239; DB00252; DB00255; DB00257; DB00312; DB00421; DB00431; DB00499; DB00503; DB00530; DB00531; DB00532; DB00564; DB00675; DB00682; DB00754; DB00783; DB00834; DB00849; DB00977; DB01026; DB01039; DB01045; DB01068; DB01110; DB01115; DB01127; DB01138; DB01174; DB01181; DB01220; DB01229; DB01234; DB01248; DB01393; DB01708; DB02709; DB02789; DB04824; DB04930; DB06777; DB08604; DB08864; DB11087; DB11605; DB13179; DB13873; DB13952; DB13953; DB13954; DB13955; DB13956; DB14001; DB14002
958	CREB1	P16220	Humans	DB00131; DB01183
959	FASN	P49327	Humans	DB01083
960	DPYD	Q12882	Humans	DB03147; DB03247; DB09257; DB09327
962	GLO1	Q04760	Humans	DB00143; DB00328
963	SLC19A3	Q9BZV2	Humans	DB00151
965	AIFM1	O95831	Humans	DB03147
967	TFPI	P10646	Humans	DB00036; DB06779; DB14562
968	HRH3	Q9Y5N1	Humans	DB00768; DB01238; DB05381; DB06698; DB11642
969	SERPINB2	P05120	Humans	DB00013; DB00031
970	IGFBP3	P17936	Humans	DB00523; DB01277
971	TOP1	P11387	Humans	DB00762; DB01030; DB05630; DB11254; DB14962
973	SMPD1	P17405	Humans	DB00381; DB00477; DB01151
978	GBA	P04062	Humans	DB06720
979	NPPB	P16860	Humans	DB01136; DB06412
980	PTPN4	P29074	Humans	DB00630
981	IL12B	P29460	Humans	DB05679
982	ACE2	Q9BYF1	Humans	DB00691
983	IMPA2	O14732	Humans	DB14507; DB14509
984	TGFB1	P01137	Humans	DB00070; DB01162; DB06205; DB10770; DB10772
985	CTNNB1	P35222	Humans	DB03904
986	SLC8A1	P32418	Humans	DB00132; DB00159; DB04855
987	TPMT	P51580	Humans	DB01250
989	HSD17B6	O14756	Humans	DB00139
991	AURKA	O14965	Humans	DB12010
992	PARK7	Q99497	Humans	DB09130
993	SV2A	Q7L0J3	Humans	DB01202; DB05541
994	LTF	P02788	Humans	DB03017; DB04743; DB08439
